party,seats,sq_cabinet,sq_pm,election_year,base,miw_new,banzhaf,shapley,splus,country,cabinet_id,party_id,cabinet_name,caretaker,cabinet_party,prime_minister,left_rightx,left_righty,cabinet_seats,total_cabinet_size,party_count,cab_count,party_name,party_name_english,country_id,election_id,seats_share,election_date,start_date,post_election,enpp,mingov,bicameral,largest_parl,largest_cab,lag_largest_parl,lag_largest_cab,seats_total,miw_proportion,cabinet_proportion,seats_proportion,W,A,B,B_star,C,D,E,country_dummy1,country_dummy2,country_dummy3,country_dummy4,country_dummy5,country_dummy6,country_dummy7,country_dummy8,country_dummy9,country_dummy10,country_dummy11,country_dummy12,country_dummy13,coalition_total
BE,2,0,0,1999,2,1,0.027777778,0.033333331,0.022551078,PRT,5,557,Guterres II,0,0,0,1.95,,0,23,6,1,Bloco de Esquerda,Bloc of the Left,63,352,0.86956519,10/10/99,10/25/99,1,2.6131198,1,0,0,0,0,0,230,0.1,0,0.008695652,116,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
KD,42,0,0,1998,42,2,0.12727273,0.11904762,0.12720537,SWE,503,282,Persson II,0,0,0,7.0141667,,0,22,7,1,Kristdemokraterna,Christian Democrats,35,33,12.034384,9/21/98,10/7/98,1,4.293757,1,0,0,0,0,0,349,0.13333334,0,0.12034384,175,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
VU,16,0,0,1987,16,16,0.075729929,0.072619051,0.071916133,BEL,457,290,Martens VIII,0,1,0,6.4292222,6.8,3,26,11,5,Volksunie,People's Union,64,191,7.5471697,12/13/87,5/9/88,1,7.1317043,0,1,0,0,0,0,212,0.075471699,0.11538462,0.075471699,107,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,150
FRP,12,0,0,1990,12,3,0.06122449,0.057142857,0.055164006,DNK,11,978,Schluter V,0,0,0,9.0063492,8.7,0,20,9,2,Fremskridtspartiet,Progress Party,21,157,6.7039108,12/12/90,12/18/90,1,4.5558085,1,0,0,0,0,0,175,0.085714288,0,0.068571426,88,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
SF,23,0,0,2007,23,3,0.12068965,0.10952381,0.12166498,DNK,788,1644,Rasmussen F III,0,0,0,2.1851429,1.9,0,19,9,2,Socialistisk Folkeparti,Socialist Peoples Party,21,174,12.849162,11/13/07,11/23/07,1,5.5655723,1,0,0,0,0,0,170,0.11538462,0,0.13529412,86,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
PCP,10,0,0,2002,10,3,0.14,0.13333334,0.1183365,PRT,381,514,Barroso,0,0,0,2.9222222,,0,18,6,2,Partido Comunista Portugus,Portuguese Communist Party,63,657,4.347826,3/17/02,4/6/02,1,2.5742092,0,0,0,0,0,0,230,0.15000001,0,0.043478262,116,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
FR,38,0,0,2005,38,3,0.16363636,0.18571429,0.17835836,NOR,693,351,Stoltenberg II,0,0,0,9.2444444,9.4,0,19,7,3,Fremskrittspartiet,Progress Party,9,3,22.485207,9/12/05,10/17/05,1,4.5617313,0,0,0,0,0,0,169,0.2,0,0.22485207,85,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
LINKE,54,0,0,2005,54,1,0.14285715,0.13333334,0.13331333,DEU,85,1227,Merkel I,0,0,0,1.1830556,,0,17,6,3,Die Linke,The Left,54,118,8.7947884,9/18/05,11/22/05,1,4.0520649,0,1,0,0,0,0,614,0.14285715,0,0.087947883,308,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
KP,1,0,0,1997,1,1,0.010416667,0.007142857,0.003349546,NOR,45,780,Bondevik I,0,0,0,,,0,19,8,3,Kystpartiet,Coastal Party,9,669,0.60606062,9/16/97,10/17/97,1,4.3608842,1,0,0,0,0,0,165,0.028571429,0,0.006060606,83,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
D66,24,0,0,1994,24,11,0.071285143,0.080952384,0.087824062,NLD,637,345,Kok I,0,1,0,4.4204445,4.4,4,14,12,3,Democraten 66,Libertarians,8,570,16,5/3/94,8/22/94,1,5.4164662,0,1,0,0,0,0,150,0.1122449,0.2857143,0.16,76,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,92
KESK,55,0,0,1991,55,13,0.31838566,0.33492064,0.32634804,FIN,831,94,Aho I,0,1,1,5.8053333,5.2,8,17,10,4,Keskusta,Centre Party,67,602,27.5,3/17/91,4/26/91,1,5.2452135,0,0,1,1,0,0,199,0.27659574,0.47058824,0.27638191,100,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,114
MP,18,0,0,1994,18,1,0.027027028,0.047619049,0.048699893,SWE,528,1154,Carlsson IV,0,0,0,3.3733334,,0,22,7,1,Miljæpartiet de Græna,Greens,35,412,5.1575933,9/18/94,10/6/94,1,3.5041573,1,0,0,0,0,0,349,0.090909094,0,0.051575933,175,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
DNA,63,1,1,1989,63,4,0.46153846,0.46666667,0.470961,NOR,94,104,Syse,0,0,0,3.2388889,3,0,19,7,3,Det norske Arbeiderparti,Norwegian Labour Party,9,571,38.18182,9/11/89,10/16/89,1,4.2347178,1,0,1,0,1,1,165,0.36363637,0,0.38181818,83,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
A,10,1,0,1987,10,3,0.13333334,0.13333334,0.14689317,ISL,279,228,Palsson,0,1,0,4.4444444,,3,11,7,3,Al___uflokkurinn,Social Democratic Party,56,673,15.873015,4/25/87,7/8/87,1,5.3418574,0,0,0,0,0,0,63,0.14285715,0.27272728,0.15873016,32,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,41
KRF,14,0,0,1989,14,1,0.07692308,0.06666667,0.065134913,NOR,94,1538,Syse,0,1,0,6.1333333,6.1,5,19,7,3,Kristelig Folkeparti,Christian Democratic Party,9,571,8.484848,9/11/89,10/16/89,1,4.2347178,1,0,0,0,0,0,165,0.090909094,0.2631579,0.084848486,83,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,62
PVDD,2,0,0,2010,2,2,0.008522727,0.007539683,0.01156182,NLD,804,990,Rutte,0,0,0,,,0,12,10,2,Partij voor de Dieren,Party for the Animals,8,530,1.3333334,6/9/10,10/14/10,1,6.7446041,1,1,0,0,0,0,150,0.013333334,0,0.013333334,76,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,
PD,8,1,0,2002,8,1,0.027027028,0.047619049,0.03872446,IRL,179,651,Ahern II,0,1,0,7.9902778,,2,16,8,2,An Pairti Daonlathach,Progressive Democrats,37,408,4.8192773,5/15/02,6/6/02,1,3.3368855,0,1,0,0,0,0,166,0.090909094,0.125,0.048192769,84,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,89
KESK,44,1,1,1995,44,17,0.218894,0.22619048,0.22531207,FIN,100,94,Lipponen I,0,0,0,5.8053333,5.2,0,16,11,5,Keskusta,Centre Party,67,24,22,3/19/95,4/13/95,1,4.8971596,0,0,0,0,1,1,199,0.2,0,0.22110553,100,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
PRC,35,0,0,1996,35,14,0.051629074,0.050036076,0.051517952,ITA,276,1321,Prodi I,0,0,0,0.95500001,,0,25,11,4,Partito della Rifondazione Comunista,Communist Refoundation Party,26,551,5.5555553,4/21/96,5/18/96,1,6.0889177,1,1,0,0,0,0,630,0.057377048,0,0.055555556,316,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,
SD,69,1,1,1990,69,13,0.55102038,0.52380955,0.51587081,DNK,11,1629,Schluter V,0,0,0,3.8689841,3.8,0,20,9,2,Socialdemokraterne,Social Democrats,21,157,38.547485,12/12/90,12/18/90,1,4.5558085,1,0,1,0,1,0,175,0.37142858,0,0.39428571,88,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
FDV,16,1,0,1996,16,7,0.019548872,0.016702741,0.018602356,ITA,276,910,Prodi I,0,1,0,2.6337037,,1,25,11,4,Federazione dei Verdi,Federation of the Greens,26,551,2.5396826,4/21/96,5/18/96,1,6.0889177,1,1,0,0,0,0,630,0.028688524,0.055555556,0.025396826,316,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,288
SP,14,1,0,1999,14,14,0.091202579,0.091053389,0.091216691,BEL,193,1029,Verhofstadt I,0,1,0,3.3017778,2.9,4,21,11,6,Socialistische Partij,Socialist Party,64,2,9.333333,6/13/99,7/12/99,1,9.050684,0,1,0,0,0,0,150,0.093333334,0.19047619,0.093333334,76,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,94
VB,11,0,0,1995,11,11,0.069948189,0.069480516,0.069402285,BEL,95,993,Dehaene II,0,0,0,9.7272223,9.8,0,20,11,4,Vlaams Blok,Flemish Block,64,332,7.3333335,5/21/95,6/23/95,1,8.0299788,0,1,0,0,0,0,150,0.07333333,0,0.07333333,76,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,
L,1,1,0,1991,1,1,0.004484305,0.003968254,0.003726969,FIN,831,1219,Aho I,0,0,0,5.7166667,5.6,0,17,10,4,Liberaalit _ Liberalerna,Liberals,67,602,0.5,3/17/91,4/26/91,1,5.2452135,0,0,0,0,0,0,199,0.021276595,0,0.005025126,100,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
DINI,26,1,0,1996,26,11,0.044611529,0.044083696,0.039972916,ITA,276,350,Prodi I,0,1,0,,,3,25,11,4,Lista Dini _ Rinnovamento italiano,Dini-List-Italian Renewal,26,551,4.1269841,4/21/96,5/18/96,1,6.0889177,1,1,0,0,0,0,630,0.045081966,0.16666667,0.041269843,316,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,288
PLI,17,1,0,1992,17,17,0.022791779,0.022981185,0.022177795,ITA,176,487,Amato I,0,1,0,6.45,5.9,2,30,16,4,Partito Liberale Italiano,Italian Liberal Party,26,605,2.6984127,4/5/92,6/28/92,1,5.7116132,0,1,0,0,0,0,629,0.027027028,0.07692308,0.027027028,315,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,331
SP,20,1,0,1995,20,20,0.13471502,0.13535354,0.13341834,BEL,95,1029,Dehaene II,0,1,0,3.3017778,2.9,4,20,11,4,Socialistische Partij,Socialist Party,64,332,13.333333,5/21/95,6/23/95,1,8.0299788,0,1,0,0,0,0,150,0.13333334,0.2,0.13333334,76,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,82
PRL,20,0,0,1991,20,20,0.092112176,0.091144964,0.090996541,BEL,570,454,Martens IX,1,0,0,6.8551111,7.6,0,21,13,4,Parti R_formateur Lib_ral,Liberal Reformist Party,64,418,9.4339619,11/24/91,11/24/91,1,8.4133282,0,1,0,0,0,0,212,0.094339624,0,0.094339624,107,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,
C,29,0,0,2006,29,3,0.11111111,0.10476191,0.10283662,SWE,475,1461,Reinfeldt I,0,1,0,5.7886666,5.9,4,22,7,4,Centerpartiet,Centre Party,35,629,8.3094559,9/17/06,10/6/06,1,4.1492419,0,0,0,0,0,0,349,0.13043478,0.18181819,0.083094552,175,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,178
GAP,2,0,0,1989,2,2,0.029126214,0.026190476,0.020868627,LUX,418,315,Santer II,0,0,0,,,0,17,7,2,Gr_ng Alternativ Partei _ Parti de l'Alternative Verte,Green Alternative,7,526,3.3333333,6/18/89,7/14/89,0,3.7735848,0,0,0,0,0,0,60,0.06666667,0,0.033333335,31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
ADR,4,0,0,1989,4,2,0.029126214,0.026190476,0.034137301,LUX,418,1582,Santer II,0,0,0,6.3157895,,0,17,7,2,Alternativ Demokratesch Reformpartei _ Parti r_formiste d'alternative d_mocratique _ Alternative Demokratische Reformpartei,Alternative Democratic Reform Party,7,526,6.6666665,6/18/89,7/14/89,0,3.7735848,0,0,0,0,0,0,60,0.06666667,0,0.06666667,31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
KOK,40,1,0,1991,40,9,0.23766816,0.21825397,0.22597963,FIN,831,1118,Aho I,0,1,0,7.1597778,7.2,6,17,10,4,Kansallinen Kokoomus _ Samlingspartiet,National Coalition Party,67,602,20,3/17/91,4/26/91,1,5.2452135,0,0,0,0,0,0,199,0.19148937,0.35294119,0.20100503,100,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,114
IDV,17,0,0,2006,17,17,0.027722705,0.024037074,0.024371287,ITA,117,693,Prodi II,0,1,0,4.915,,1,26,17,7,Italia dei Valori,Italy of Values,26,107,2.6984127,4/9/06,5/17/06,1,5.0764861,0,1,0,0,0,0,627,0.031657357,0.045454547,0.027113238,314,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,337
VB,17,0,0,2007,17,17,0.109083,0.10883839,0.10984766,BEL,886,993,Verhofstadt III,1,0,0,9.7272223,9.8,0,25,11,4,Vlaams Blok,Flemish Block,64,401,11.333333,6/10/07,6/10/07,1,7.9113922,1,1,0,0,0,0,150,0.11333334,0,0.11333334,76,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,
SD,52,1,1,2001,52,8,0.24576271,0.26904762,0.2709347,DNK,482,1629,Rasmussen F I,0,0,0,3.8689841,3.8,0,18,9,2,Socialdemokraterne,Social Democrats,21,632,29.05028,11/20/01,11/27/01,1,4.6754708,1,0,0,0,1,1,175,0.24242425,0,0.29714286,88,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
KRF,13,1,0,1993,13,1,0.07692308,0.06666667,0.071759611,NOR,572,1538,Brundtland IV,0,0,0,6.1333333,6.1,0,20,8,1,Kristelig Folkeparti,Christian Democratic Party,9,404,7.878788,9/13/93,9/13/93,1,4.0411162,1,0,0,0,0,0,165,0.090909094,0,0.078787878,83,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
DS,107,0,0,1992,107,107,0.13324556,0.15463564,0.1575648,ITA,176,809,Amato I,0,0,0,2.6291667,,0,30,16,4,Democratici di Sinistra,Left-Wing Democrats,26,605,16.984127,4/5/92,6/28/92,1,5.7116132,0,1,0,0,0,0,629,0.17011128,0,0.17011128,315,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,
SP,1,0,0,2002,1,0,0,0,0.00631175,IRL,179,1014,Ahern II,0,0,0,1.3333334,,0,16,8,2,P_irt S_isialach,Socialist Party,37,408,0.60240966,5/15/02,6/6/02,1,3.3368855,0,1,0,0,0,0,166,0,0,0.006024096,84,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
PS,13, ,,1994,13,13,0.022839658,0.019148085,0.019164817,ITA,672,827,Berlusconi I,0,0,0,6,,0,27,21,5,Patto Segni,Segni Pact,26,146,2.0634921,3/27/94,5/11/94,1,7.6707511,0,1,0,0,0,0,630,0.020766772,0,0.020634921,316,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,
V,42,1,0,1994,42,14,0.18636364,0.19880952,0.19796914,DNK,189,1605,Rasmussen N II,0,0,0,7.2685714,6.7,0,20,10,3,Venstre,Liberal Party of Denmark,21,89,23.463688,9/21/94,9/27/94,1,4.7334909,1,0,0,0,0,0,174,0.1891892,0,0.24137931,88,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
DP,11,0,0,1989,11,7,0.28155339,0.27619049,0.27188185,LUX,418,967,Santer II,0,0,0,7.3684211,,0,17,7,2,Demokratesch Partei _ Parti D_mocratique _ Demokratische Partei,Democratic Party,7,526,18.333334,6/18/89,7/14/89,0,3.7735848,0,0,0,0,0,0,60,0.23333333,0,0.18333334,31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
NONE,10, ,,1994,10,10,0.017514503,0.014574869,0.014620658,ITA,672,1552,Berlusconi I,0,0,0,,,0,27,21,5,senzo partito,no party affiliation,26,146,1.5873016,3/27/94,5/11/94,1,7.6707511,0,1,0,0,0,0,630,0.015974442,0,0.015873017,316,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,
SPD,239,0,0,1990,239,1,0.16666667,0.16666667,0.1629487,DEU,862,558,Kohl IV,0,0,0,3.5988889,3.3,0,20,6,3,Sozialdemokratische Partei Deutschlands,Social Democratic Party of Germany,54,445,36.102718,12/2/90,1/18/91,1,3.1724627,0,1,0,0,1,0,654,0.2,0,0.36544344,328,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
CVP,43,1,1,1987,43,43,0.21624088,0.22103174,0.22014111,BEL,457,723,Martens VIII,0,1,1,5.7286666,5.8,6,26,11,5,Christelijke Volkspartij,Flemish Christian Peoples Party,64,191,20.283018,12/13/87,5/9/88,1,7.1317043,0,1,1,1,1,1,212,0.2028302,0.23076923,0.2028302,107,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,150
MR,24,1,0,2003,24,14,0.15752213,0.15793651,0.15843391,BEL,449,915,Verhofstadt II,0,1,0,6.8216666,7.6,5,24,10,4,Mouvement R_formateur,Reformist Movement,64,143,16,5/18/03,7/12/03,1,7.0268583,0,1,0,0,0,0,150,0.15555556,0.20833333,0.16,76,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,97
VAS,19,0,0,1991,19,4,0.049327355,0.04920635,0.047721021,FIN,831,1427,Aho I,0,0,0,2.3719444,,0,17,10,4,Vasemmistoliitto _ V_nsterf_rbundet,Left Alliance,67,602,9.5,3/17/91,4/26/91,1,5.2452135,0,0,0,0,0,0,199,0.08510638,0,0.095477387,100,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
FDF,3,0,0,1987,3,3,0.012773723,0.011507937,0.012807283,BEL,457,969,Martens VIII,0,0,0,6.1259259,5.6,0,26,11,5,Front D_mocratique des Francophones,Francophone Democratic Front,64,191,1.4150944,12/13/87,5/9/88,1,7.1317043,0,1,0,0,0,0,212,0.014150944,0,0.014150944,107,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,
GRUENE,17,0,0,2002,17,1,0.16666667,0.16666667,0.16148385,AUT,889,1429,Schuessel II,1,0,0,2.4916667,,0,11,4,2,Die Grªnen _ Die grªne Alternative,The Greens -- The Green Alternative,59,365,9.2896175,11/24/02,11/24/02,1,2.8832545,0,1,0,0,0,0,183,0.2,0,0.092896178,92,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
KP,1,0,0,2001,1,0,0,0,0.005261498,NOR,300,780,Bondevik II,0,0,0,,,0,19,8,3,Kystpartiet,Coastal Party,9,328,0.60606062,9/10/01,10/19/01,1,5.3518772,1,0,0,0,0,0,165,0,0,0.006060606,83,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,
SVP,3,0,0,1994,3,3,0.005230614,0.004295661,0.004303379,ITA,672,1030,Berlusconi I,0,0,0,5.4000001,,0,27,21,5,S_dtiroler Volkspartei,South Tyrol Peoples Party,26,146,0.47619048,3/27/94,5/11/94,1,7.6707511,0,1,0,0,0,0,630,0.004792332,0,0.004761905,316,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,
ECOLO,10,0,0,1991,10,10,0.045478415,0.044139195,0.044037446,BEL,570,161,Martens IX,1,0,0,2.9113333,4.5,0,21,13,4,ócologistes Conf_d_r_s pour l'organisation de luttes originales,Confederated ecologists for the organisation of original struggles,64,418,4.7169809,11/24/91,11/24/91,1,8.4133282,0,1,0,0,0,0,212,0.047169812,0,0.047169812,107,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,
FDP,46,1,0,1987,46,1,0.16666667,0.16666667,0.16671667,DEU,286,543,Kohl III,0,1,0,5.8064444,5.1,5,24,5,3,Freie Demokratische Partei,Free Democratic Party,54,588,9.2555332,1/25/87,3/11/87,1,3.4715192,0,1,0,0,0,0,497,0.2,0.2173913,0.092555329,249,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,269
DEVA,4,0,0,1987,4,1,0.014218009,0.015873017,0.013287322,FIN,614,229,Holkeri I,0,0,0,,,0,15,10,4,Demokraattinen Vaihtoehto _ Demokratiskt Alternativs,Democratic Alternative,67,527,2,3/16/87,4/30/87,1,4.9480457,0,0,0,0,0,0,199,0.030303031,0,0.020100502,100,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
SKDL,16,0,0,1987,16,2,0.023696681,0.027777778,0.03237934,FIN,614,1292,Holkeri I,0,0,0,2.1275,1.8,0,15,10,4,Suomen Kansan Demokraattinen Liitto _ Demokratiska F_rbundet f_r Finlands Folk,Finish People's Democratic Union,67,527,8,3/16/87,4/30/87,1,4.9480457,0,0,0,0,0,0,199,0.060606062,0,0.080402009,100,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
SSDP,51,1,1,1999,51,11,0.28636363,0.28690475,0.29495123,FIN,352,395,Lipponen II,0,1,1,3.4931111,3,6,16,10,5,Suomen Sosialidemokraattinen Puolue _ Finlands Socialdemokratiska Parti,Social Democratic Party of Finland,67,15,25.5,3/21/99,4/15/99,1,5.1506567,0,0,1,1,1,1,198,0.25,0.40000001,0.25757575,100,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,139
PVV,13,1,1,2010,13,13,0.084068939,0.08340548,0.08329726,BEL,675,1110,Leterme III,1,0,0,6.9802778,7.8,0,15,12,0,Partij voor Vrijheid en Vooruitgang,Party of Liberty and Progress,64,486,8.666667,6/13/10,6/13/10,1,8.4206591,1,1,0,0,0,0,150,0.086666666,0,0.086666666,76,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,
SJ,18,0,0,1987,18,6,0.33333334,0.33333334,0.33167803,ISL,279,1342,Palsson,0,1,1,6.9444444,,4,11,7,3,Sj_lfst__isflokkurinn,Independence Party,56,673,28.571428,4/25/87,7/8/87,1,5.3418574,0,0,1,1,1,1,63,0.2857143,0.36363637,0.2857143,32,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,41
SP,15,0,0,2010,15,15,0.10511363,0.1031746,0.10134646,NLD,804,357,Rutte,0,0,0,1.2425,0.6,0,12,10,2,Socialistische Partij,Socialist Party,8,530,10,6/9/10,10/14/10,1,6.7446041,1,1,0,0,0,0,150,0.1,0,0.1,76,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,
D66,12,0,0,1989,12,4,0.044705883,0.038492061,0.045368996,NLD,148,345,Lubbers III,0,0,0,4.4204445,4.4,0,14,9,2,Democraten 66,Libertarians,8,627,8,9/6/89,11/7/89,1,3.7525017,0,1,0,0,0,0,150,0.078431375,0,0.079999998,76,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
FF,80,1,1,2007,80,7,0.67441863,0.61904764,0.61117673,IRL,864,280,Ahern III,0,1,1,5.9926667,6.3,12,15,7,3,Fianna F_il,Fianna Fail (Soldiers of Destiny),37,190,46.987953,5/24/07,6/14/07,1,3.0063276,0,1,1,1,1,1,169,0.41176471,0.80000001,0.47337279,85,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,88
PVDA,49,0,0,1989,49,11,0.25647059,0.25634921,0.26714027,NLD,148,742,Lubbers III,0,1,0,3.5371111,2.6,8,14,9,2,Partij van de Arbeid,Labour,8,627,32.666668,9/6/89,11/7/89,1,3.7525017,0,1,0,0,0,0,150,0.21568628,0.5714286,0.32666665,76,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,103
KESK,51,1,1,2007,51,5,0.30769232,0.30952382,0.30089432,FIN,277,94,Vanhanen II,0,1,1,5.8053333,5.2,8,20,9,4,Keskusta,Centre Party,67,314,25.5,3/18/07,4/19/07,1,5.1308365,0,0,1,1,1,1,199,0.2631579,0.40000001,0.25628141,100,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,125
GRUENE,13,0,0,1994,13,0,0,0,0.012728727,AUT,294,1429,Vranitzky IV,0,0,0,2.4916667,,0,17,5,2,Die Grªnen _ Die grªne Alternative,The Greens -- The Green Alternative,59,66,7.1038251,10/9/94,11/29/94,1,3.7280419,0,1,0,0,0,0,183,0,0,0.071038254,92,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
D66,7,1,0,2002,7,6,0.044491526,0.044841271,0.044272318,NLD,763,345,Balkenende I,0,0,0,4.4204445,4.4,0,14,10,3,Democraten 66,Libertarians,8,74,4.6666665,5/15/02,7/21/02,0,5.7929969,0,1,0,0,0,0,150,0.045454547,0,0.046666667,76,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,
PVDA,42,0,0,2003,42,17,0.29577464,0.30158731,0.29809344,NLD,124,742,Balkenende II,0,0,0,3.5371111,2.6,0,16,9,3,Partij van de Arbeid,Labour,8,335,28,1/22/03,5/27/03,1,4.7448335,0,1,0,0,0,0,150,0.25,0,0.28,76,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
FPO,21,0,0,2006,21,1,0.14285715,0.13333334,0.14057094,AUT,583,50,Gusenbauer,0,0,0,8.2955556,6.8,0,15,5,2,Freiheitliche Partei sterreichs,Freedom Party of Austria,59,197,11.47541,10/1/06,1/11/07,1,3.3789728,0,1,0,0,0,0,183,0.14285715,0,0.1147541,92,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
LN,26,1,0,2006,26,26,0.043449041,0.03921634,0.038695324,ITA,117,1436,Prodi II,0,0,0,7.6605556,,0,26,17,7,Lega Nord,North League,26,107,4.1269841,4/9/06,5/17/06,1,5.0764861,0,1,0,0,0,0,627,0.048417132,0,0.041467305,314,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
V,29,0,0,1990,29,5,0.10204081,0.12380952,0.13069074,DNK,11,1605,Schluter V,0,1,0,7.2685714,6.7,10,20,9,2,Venstre,Liberal Party of Denmark,21,157,16.201117,12/12/90,12/18/90,1,4.5558085,1,0,0,0,0,0,175,0.14285715,0.5,0.16571428,88,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,59
GREENS,2,0,0,1997,2,2,0.036585364,0.035714287,0.026170438,IRL,126,1573,Ahern I,0,0,0,2.4211111,,0,16,9,2,Green Party-Comhaontas Glas,Green Party,37,316,1.2048193,6/6/97,6/26/97,1,2.9926152,1,1,0,0,0,0,165,0.068965517,0,0.012121212,83,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
VB,15,0,0,1999,15,15,0.10250202,0.10256132,0.099376552,BEL,193,993,Verhofstadt I,0,0,0,9.7272223,9.8,0,21,11,6,Vlaams Blok,Flemish Block,64,2,10,6/13/99,7/12/99,1,9.050684,0,1,0,0,0,0,150,0.1,0,0.1,76,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,
